season,manager,formation,xi_points,position,slot,player_code,player,points,seasons
2025-26,Ethan Ellsworth,3-5-2,1035,DEF,1,445122,Jurriën Timber,110,2025-26
2025-26,Ethan Ellsworth,3-5-2,1035,DEF,2,179268,Marc Cucurella Saseta,99,2025-26
2025-26,Ethan Ellsworth,3-5-2,1035,DEF,3,544877,Milos Kerkez,74,2025-26
2025-26,Ethan Ellsworth,3-5-2,1035,MID,1,243298,Cody Gakpo,126,2025-26
2025-26,Ethan Ellsworth,3-5-2,1035,MID,2,466052,Rayan Cherki,116,2025-26
2025-26,Ethan Ellsworth,3-5-2,1035,MID,3,232185,Ismaïla Sarr,113,2025-26
2025-26,Ethan Ellsworth,3-5-2,1035,MID,4,433036,Tijjani Reijnders,85,2025-26
2025-26,Ethan Ellsworth,3-5-2,1035,MID,5,446008,Bryan Mbeumo,84,2025-26
2025-26,Ethan Ellsworth,3-5-2,1035,FWD,1,560262,Junior Kroupi,75,2025-26
2025-26,Ethan Ellsworth,3-5-2,1035,FWD,2,586309,Thierno Barry,64,2025-26
2025-26,Julius Long,4-4-2,1013,GKP,1,111234,Jordan Pickford,115,2025-26
2025-26,Julius Long,4-4-2,1013,DEF,1,437499,Maxence Lacroix,142,2025-26
2025-26,Julius Long,4-4-2,1013,DEF,2,494521,Adrien Truffert,73,2025-26
2025-26,Julius Long,4-4-2,1013,DEF,3,78916,Dan Burn,67,2025-26
2025-26,Julius Long,4-4-2,1013,DEF,4,432830,Nathan Collins,47,2025-26
2025-26,Julius Long,4-4-2,1013,MID,1,448047,Enzo Fernández,143,2025-26
2025-26,Julius Long,4-4-2,1013,MID,2,441266,Ryan Gravenberch,70,2025-26
2025-26,Julius Long,4-4-2,1013,MID,3,232928,James Garner,69,2025-26
2025-26,Julius Long,4-4-2,1013,MID,4,116216,Leandro Trossard,59,2025-26
2025-26,Julius Long,4-4-2,1013,FWD,1,224117,Viktor Gyökeres,128,2025-26
2025-26,Julius Long,4-4-2,1013,FWD,2,485711,Benjamin Sesko,100,2025-26
