event,team,points,starter_double_digits,starter_zeroes
14,**Cunha Believe it?!,46,1,1
17,ChabosSpurs@Law,46,2,2
21,**Cunha Believe it?!,46,1,0
27,eze as u like b*%chs,46,1,1
29,*Saka It To Me Baby,46,1,1
29,Amorim de mi vida,46,1,0
2,eze as u like b*%chs,45,1,1
7,eze as u like b*%chs,45,1,0
9,Santa’s reijnders,45,1,0
13,Bowen Arrows,45,2,0
13,Sue-nited FC*,45,1,0
17,*Saka It To Me Baby,45,0,0
18,**Cunha Believe it?!,45,1,0
18,Sue-nited FC*,45,1,0
19,Into the WOODwork*,45,1,0
20,Sue-nited FC*,45,1,1
4,Amorim de mi vida,44,0,0
7,Grand-Larseny,44,1,0
8,Grand-Larseny,44,1,0
11,**Cunha Believe it?!,44,1,0
14,Into the WOODwork*,44,1,1
20,**Cunha Believe it?!,44,1,1
21,eze as u like b*%chs,44,0,0
24,*Saka It To Me Baby,44,2,0
26,eze as u like b*%chs,44,1,0
27,Amorim de mi vida,44,1,0
28,Sue-nited FC*,44,1,0
33,ChabosSpurs@Law,44,0,0
1,**Cunha Believe it?!,43,1,0
3,Amorim de mi vida,43,2,0
12,Amorim de mi vida,43,3,2
13,*Saka It To Me Baby,43,0,1
17,Sue-nited FC*,43,0,1
18,Amorim de mi vida,43,1,0
23,*Saka It To Me Baby,43,1,1
24,Sue-nited FC*,43,1,1
28,Bowen Arrows,43,1,0
32,**Cunha Believe it?!,43,1,0
34,**Cunha Believe it?!,43,1,1
34,Into the WOODwork*,43,1,1
36,Santa’s reijnders,43,1,0
1,Into the WOODwork*,42,1,0
1,Santa’s reijnders,42,1,2
2,Sue-nited FC*,42,0,1
3,eze as u like b*%chs,42,1,0
4,Into the WOODwork*,42,1,2
11,ChabosSpurs@Law,42,0,0
15,eze as u like b*%chs,42,0,0
18,Bowen Arrows,42,0,2
30,**Cunha Believe it?!,42,1,0
32,*Saka It To Me Baby,42,2,0
35,Grand-Larseny,42,0,1
35,Santa’s reijnders,42,0,0
2,Bowen Arrows,41,1,1
4,Bowen Arrows,41,1,2
4,Grand-Larseny,41,1,0
7,*Saka It To Me Baby,41,0,0
13,Santa’s reijnders,41,1,0
15,**Cunha Believe it?!,41,1,0
15,Santa’s reijnders,41,1,0
19,Santa’s reijnders,41,0,0
24,Amorim de mi vida,41,0,0
25,ChabosSpurs@Law,41,1,0
32,Santa’s reijnders,41,1,1
3,Bowen Arrows,40,0,1
3,Into the WOODwork*,40,1,0
7,Into the WOODwork*,40,1,0
7,Sue-nited FC*,40,0,0
9,**Cunha Believe it?!,40,0,0
9,Amorim de mi vida,40,0,0
10,*Saka It To Me Baby,40,1,0
14,eze as u like b*%chs,40,1,1
16,**Cunha Believe it?!,40,1,2
16,Grand-Larseny,40,2,2
22,Bowen Arrows,40,0,0
22,eze as u like b*%chs,40,0,1
25,Santa’s reijnders,40,1,0
26,Sue-nited FC*,40,1,1
27,Bowen Arrows,40,0,0
27,Santa’s reijnders,40,0,0
36,ChabosSpurs@Law,40,1,0
37,Santa’s reijnders,40,1,0
1,Sue-nited FC*,39,0,2
2,Grand-Larseny,39,0,0
3,**Cunha Believe it?!,39,1,2
4,Santa’s reijnders,39,0,2
7,Bowen Arrows,39,1,3
11,Grand-Larseny,39,0,0
